A.1;;;;;;;
;;;;;;;
;BLEU;;TER;;COMET;;Mean per dialect
;DT;LT;DT;LT;DT;LT;
Milanese;0.54;0.51;0.65;0.63;0.88;0.87;0.68
Roman ;0.72;0.67;0.78;0.77;0.93;0.92;0.8
Sicilian;0.65;0.71;0.75;0.77;0.85;0.85;0.76
Grand Mean;;;;;;;0.75
;;;;;;;
;;;;;;;
A.2;;;;;;;
;;;;;;;
;Milanese;;Roman Dialect;;Sicilian;;Grand Mean
;BT;AT;BT;AT;BT;AT;
Question 1);2;2;2;3;3;2;
Question 2);1;3;1;2;1;3;
Question 3);3;2;2;3;3;2;
Question 4);1;1;2;2;2;2;
Question 5);2;3;2;3;3;2;
Total;9;11;7;13;12;11;
Normalized total values;0.6;0.73;0.47;0.87;0.8;0.73;
Mean per dialect;0.67;;0.67;;0.77;;0.7
;;;;;;;
;;;;;;;
B.1;;;;;;;
;;;;;;;
;Score;;;;;;
Emilian (Bolognese);1;;;;;;
Calabrian;0.5;;;;;;
Friulian;1;;;;;;
Mean;0.83;;;;;;
;;;;;;;
;;;;;;;
B.2;;;;;;;
;;;;;;;
;Score;;;;;;
1) Recognition: Bolognese – Modenese;0.25;;;;;;
2) Analysis: Bolognese – Modenese;0;;;;;;
1) Recognition: Milanese – Bergamo;1;;;;;;
2) Analysis: Milanese – Bergamo;0.25;;;;;;
Mean;0.38;;;;;;
;;;;;;;
;;;;;;;
B.3;;;;;;;
;;;;;;;
;Score;;;;;;
Sicilian;0;;;;;;
Milanese;0;;;;;;
Roman;0;;;;;;
Mean;0;;;;;;
;;;;;;;
;;;;;;;
C.1;;;;;;;
;;;;;;;
Indicators;Sustained use of dialects;Incorporating dialect phonetics;Employing dialect morphology and syntax;Employing dialect lexicon;Total;Norm. Values;Mean per dialect
Milanese;2;2;1;0;5;0.63;
Milanese (PSD);2;2;1;0;5;0.63;0.63
Roman;0;0;0;0;0;0;
Roman (PSD);1;1;0;1;3;0.38;0.19
Sicilian;2;1;0;0;3;0.38;
Sicilian (PSD);2;2;0;1;5;0.63;0.5
Mean;;;;;;;0.41
;;;;;;;
;;;;;;;
C.2;;;;;;;
;;;;;;;
;BLEU;;TER;;COMET;;Mean per dialect
;MT;BT;MT;BT;MT;BT;
Milanese;0.14;0.12;0.26;0.26;0.55;0.55;0.31
Roman;0.19;0.15;0.32;0.22;0.69;0.67;0.37
Sicilian;0.19;0.13;0.33;0.17;0.62;0.57;0.34
Grand Mean;;;;;;;0.34
;;;;;;;
;;;;;;;
D.1;;;;;;;
;;;;;;;
;Milanese;Roman;Sicilian;Mean;;;
Question 1);2;3;3;;;;
Question 2);1;0;1;;;;
Question 3);2;2;1;;;;
Question 4);2;2;2;;;;
Question 5);3;2;3;;;;
Question 6);3;3;3;;;;
Total;13;12;13;;;;
Normalized total values;0.72;0.67;0.72;0.70;;;
;;;;;;;
;;;;;;;
;;;;;;;
Results per dialect;;;;;;;
;;;;;;;
;A;B.3;C;D;Mean;;
Milanese;0.67;0;0.47;0.72;0.47;;
Roman;0.73;0;0.28;0.67;0.42;;
Sicilian;0.77;0;0.42;0.72;0.48;;
;;;;;;;
;;;;;;;
Results per skill;;;;;;;
;;;;;;;
;Mean;;;;;;
A;0.72;;;;;;
B;0.4;;;;;;
C;0.37;;;;;;
D;0.70;;;;;;
